FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
44003,"Kent County","Rhode Island",RI,6.3831990242
13049,"Charlton County",Georgia,GA,6.37883637349
48107,"Crosby County",Texas,TX,6.37683560054
31047,"Dawson County",Nebraska,NE,6.37522143126
38087,"Slope County","North Dakota",ND,6.36886604973
54057,"Mineral County","West Virginia",WV,6.36669816971
30109,"Wibaux County",Montana,MT,6.36643221719
36083,"Rensselaer County","New York",NY,6.36521041961
47019,"Carter County",Tennessee,TN,6.36497979164
36067,"Onondaga County","New York",NY,6.36482913971
26019,"Benzie County",Michigan,MI,6.34760574194
26105,"Mason County",Michigan,MI,6.34351330537
48445,"Terry County",Texas,TX,6.33855894407
36075,"Oswego County","New York",NY,6.32837807748
48389,"Reeves County",Texas,TX,6.32306893248
47171,"Unicoi County",Tennessee,TN,6.32236242294
36001,"Albany County","New York",NY,6.31767810186
05089,"Marion County",Arkansas,AR,6.31668546465
46137,"Ziebach County","South Dakota",SD,6.3141062657
31063,"Frontier County",Nebraska,NE,6.30597988764
06069,"San Benito County",California,CA,6.30420141685
27109,"Olmsted County",Minnesota,MN,6.30143461227
35025,"Lea County","New Mexico",NM,6.28715064449
30079,"Prairie County",Montana,MT,6.28701082865
48305,"Lynn County",Texas,TX,6.284057827
51017,"Bath County",Virginia,VA,6.28375094732
38033,"Golden Valley County","North Dakota",ND,6.28189358711
37173,"Swain County","North Carolina",NC,6.27813461423
20129,"Morton County",Kansas,KS,6.27563016415
33015,"Rockingham County","New Hampshire",NH,6.27502847672
55113,"Sawyer County",Wisconsin,WI,6.27454625236
04019,"Pima County",Arizona,AZ,6.2682226155
31135,"Perkins County",Nebraska,NE,6.26799493366
51009,"Amherst County",Virginia,VA,6.26576862335
16023,"Butte County",Idaho,ID,6.26348920064
37129,"New Hanover County","North Carolina",NC,6.26164979935
51091,"Highland County",Virginia,VA,6.26121971824
31085,"Hayes County",Nebraska,NE,6.25297751029
48437,"Swisher County",Texas,TX,6.24502700806
30103,"Treasure County",Montana,MT,6.24382324517
48303,"Lubbock County",Texas,TX,6.23697946548
13213,"Murray County",Georgia,GA,6.23274197578
55129,"Washburn County",Wisconsin,WI,6.23123890559
30071,"Phillips County",Montana,MT,6.23095213175
08103,"Rio Blanco County",Colorado,CO,6.23024708446
48189,"Hale County",Texas,TX,6.22948339462
36093,"Schenectady County","New York",NY,6.22928830556
41059,"Umatilla County",Oregon,OR,6.2206008264
37021,"Buncombe County","North Carolina",NC,6.21572771527
37013,"Beaufort County","North Carolina",NC,6.21280191342
48375,"Potter County",Texas,TX,6.21079524358
48341,"Moore County",Texas,TX,6.20710487366
51079,"Greene County",Virginia,VA,6.20260035992
48381,"Randall County",Texas,TX,6.20061608156
55037,"Florence County",Wisconsin,WI,6.19842571682
48219,"Hockley County",Texas,TX,6.19337663651
37115,"Madison County","North Carolina",NC,6.1913104852
37089,"Henderson County","North Carolina",NC,6.19096465544
48301,"Loving County",Texas,TX,6.18668188368
36095,"Schoharie County","New York",NY,6.18520559583
30033,"Garfield County",Montana,MT,6.18278607358
26103,"Marquette County",Michigan,MI,6.18237439413
37199,"Yancey County","North Carolina",NC,6.1729771826
05009,"Boone County",Arkansas,AR,6.16304764152
37111,"McDowell County","North Carolina",NC,6.15920202549
37031,"Carteret County","North Carolina",NC,6.15584250859
37065,"Edgecombe County","North Carolina",NC,6.15577150981
48421,"Sherman County",Texas,TX,6.15180333455
36087,"Rockland County","New York",NY,6.14777787526
36045,"Jefferson County","New York",NY,6.13670420647
08069,"Larimer County",Colorado,CO,6.13312003246
37099,"Jackson County","North Carolina",NC,6.12359609604
30009,"Carbon County",Montana,MT,6.12258346171
30021,"Dawson County",Montana,MT,6.11130345288
46017,"Buffalo County","South Dakota",SD,6.11086216569
36091,"Saratoga County","New York",NY,6.10799791195
48279,"Lamb County",Texas,TX,6.10639476776
37187,"Washington County","North Carolina",NC,6.10239986579
48079,"Cochran County",Texas,TX,6.09446338654
30027,"Fergus County",Montana,MT,6.09035317726
31069,"Garden County",Nebraska,NE,6.08474349093
29213,"Taney County",Missouri,MO,6.08265556892
48069,"Castro County",Texas,TX,6.08140935898
37137,"Pamlico County","North Carolina",NC,6.0773861625
36077,"Otsego County","New York",NY,6.07540881249
55041,"Forest County",Wisconsin,WI,6.06607017517
55085,"Oneida County",Wisconsin,WI,6.06596455367
30069,"Petroleum County",Montana,MT,6.06184845135
49009,"Daggett County",Utah,UT,6.05335802502
55003,"Ashland County",Wisconsin,WI,6.05164866014
30105,"Valley County",Montana,MT,6.05030727694
35051,"Sierra County","New Mexico",NM,6.04873017867
06087,"Santa Cruz County",California,CA,6.0459394455
36053,"Madison County","New York",NY,6.03470976456
37121,"Mitchell County","North Carolina",NC,6.03319433757
30005,"Blaine County",Montana,MT,6.03031566786
38007,"Billings County","North Dakota",ND,6.02764185497
06015,"Del Norte County",California,CA,6.0219355471
26071,"Iron County",Michigan,MI,6.01903045177
53037,"Kittitas County",Washington,WA,6.00553381145
48109,"Culberson County",Texas,TX,6.00301533179
46041,"Dewey County","South Dakota",SD,6.00215955214
30083,"Richland County",Montana,MT,5.98934688816
36115,"Washington County","New York",NY,5.98733349769
08071,"Las Animas County",Colorado,CO,5.98541188409
30087,"Rosebud County",Montana,MT,5.98169685107
36057,"Montgomery County","New York",NY,5.98035039902
54071,"Pendleton County","West Virginia",WV,5.97588754737
23011,"Kennebec County",Maine,ME,5.97570313513
44009,"Washington County","Rhode Island",RI,5.9743209362
53071,"Walla Walla County",Washington,WA,5.97367043828
48043,"Brewster County",Texas,TX,5.95006009902
48117,"Deaf Smith County",Texas,TX,5.94315106339
48359,"Oldham County",Texas,TX,5.92851655748
50001,"Addison County",Vermont,VT,5.91559131329
31149,"Rock County",Nebraska,NE,5.91481225193
49041,"Sevier County",Utah,UT,5.91219494173
40025,"Cimarron County",Oklahoma,OK,5.91184549332
16043,"Fremont County",Idaho,ID,5.91097918011
56021,"Laramie County",Wyoming,WY,5.90477565357
